V (V),T (C),I (mA)
0.000,0,0.00000
0.025,0,0.00000
0.050,0,0.00000
0.075,0,0.00000
0.100,0,0.00000
0.125,0,0.00000
0.150,0,0.00000
0.175,0,0.00000
0.200,0,0.00000
0.225,0,0.00000
0.250,0,0.00000
0.275,0,0.00001
0.300,0,0.00002
0.325,0,0.00006
0.350,0,0.00016
0.375,0,0.00046
0.400,0,0.00134
0.425,0,0.00387
0.450,0,0.01118
0.475,0,0.03234
0.500,0,0.09354
0.525,0,0.27056
0.550,0,0.78259
0.575,0,2.26359
0.600,0,6.54729
0.625,0,18.93766
0.650,0,54.77610
0.000,25,0.00000
0.025,25,0.00000
0.050,25,0.00000
0.075,25,0.00000
0.100,25,0.00000
0.125,25,0.00000
0.150,25,0.00000
0.175,25,0.00000
0.200,25,0.00000
0.225,25,0.00001
0.250,25,0.00002
0.275,25,0.00004
0.300,25,0.00012
0.325,25,0.00031
0.350,25,0.00082
0.375,25,0.00218
0.400,25,0.00577
0.425,25,0.01528
0.450,25,0.04042
0.475,25,0.10695
0.500,25,0.28298
0.525,25,0.74875
0.550,25,1.98118
0.575,25,5.24218
0.600,25,13.87074
0.625,25,36.70178
0.650,25,97.11238
0.000,50,0.00000
0.025,50,0.00000
0.050,50,0.00000
0.075,50,0.00000
0.100,50,0.00000
0.125,50,0.00000
0.150,50,0.00000
0.175,50,0.00001
0.200,50,0.00002
0.225,50,0.00006
0.250,50,0.00014
0.275,50,0.00035
0.300,50,0.00086
0.325,50,0.00210
0.350,50,0.00516
0.375,50,0.01267
0.400,50,0.03109
0.425,50,0.07630
0.450,50,0.18724
0.475,50,0.45950
0.500,50,1.12768
0.525,50,2.76745
0.550,50,6.79163
0.575,50,16.66743
0.600,50,40.90378
0.625,50,100.38252
0.650,50,246.35010
0.000,75,0.00000
0.025,75,0.00000
0.050,75,0.00000
0.075,75,0.00000
0.100,75,0.00001
0.125,75,0.00002
0.150,75,0.00005
0.175,75,0.00011
0.200,75,0.00025
0.225,75,0.00058
0.250,75,0.00134
0.275,75,0.00309
0.300,75,0.00710
0.325,75,0.01634
0.350,75,0.03760
0.375,75,0.08650
0.400,75,0.19904
0.425,75,0.45797
0.450,75,1.05373
0.475,75,2.42453
0.500,75,5.57859
0.525,75,12.83575
0.550,75,29.53374
0.575,75,67.95407
0.600,75,156.35527
0.625,75,359.75727
0.650,75,827.76419
