V_GS (V),V_DS (V),I_D (mA)
2.0,0.0,0.00
2.0,0.5,0.48
2.0,1.0,0.50
2.0,1.5,0.51
2.0,2.0,0.52
2.0,2.5,0.53
2.0,3.0,0.54
2.0,3.5,0.55
2.0,4.0,0.56
2.0,4.5,0.57
2.0,5.0,0.58
3.0,0.0,0.00
3.0,0.5,2.15
3.0,1.0,3.60
3.0,1.5,4.22
3.0,2.0,4.31
3.0,2.5,4.39
3.0,3.0,4.48
3.0,3.5,4.56
3.0,4.0,4.65
3.0,4.5,4.73
3.0,5.0,4.82
4.0,0.0,0.00
4.0,0.5,4.10
4.0,1.0,7.35
4.0,1.5,9.72
4.0,2.0,11.20
4.0,2.5,11.85
4.0,3.0,12.02
4.0,3.5,12.21
4.0,4.0,12.39
4.0,4.5,12.58
4.0,5.0,12.76
5.0,0.0,0.00
5.0,0.5,6.20
5.0,1.0,11.50
5.0,1.5,15.80
5.0,2.0,19.20
5.0,2.5,21.50
5.0,3.0,22.80
5.0,3.5,23.15
5.0,4.0,23.48
5.0,4.5,23.82
5.0,5.0,24.15
