V_GS (V),V_DS (V),I_D (mA)
0.0,0.1,0.01
0.5,0.1,0.01
1.0,0.1,0.01
1.5,0.1,0.02
2.0,0.1,0.21
2.5,0.1,0.40
3.0,0.1,0.59
3.5,0.1,0.78
4.0,0.1,0.97
4.5,0.1,1.16
5.0,0.1,1.35
0.0,1.0,0.01
0.5,1.0,0.01
1.0,1.0,0.01
1.5,1.0,0.02
2.0,1.0,0.69
2.5,1.0,2.28
3.0,1.0,4.18
3.5,1.0,6.08
4.0,1.0,7.98
4.5,1.0,9.88
5.0,1.0,11.78
0.0,3.0,0.01
0.5,3.0,0.01
1.0,3.0,0.01
1.5,3.0,0.02
2.0,3.0,0.73
2.5,3.0,2.43
3.0,3.0,5.07
3.5,3.0,8.61
4.0,3.0,13.00
4.5,3.0,18.24
5.0,3.0,23.94
0.0,5.0,0.01
0.5,5.0,0.01
1.0,5.0,0.01
1.5,5.0,0.02
2.0,5.0,0.77
2.5,5.0,2.57
3.0,5.0,5.36
3.5,5.0,9.11
4.0,5.0,13.77
4.5,5.0,19.30
5.0,5.0,25.66
